title,company,date,location,categories,viewers,text
Universidad Tecnológica del Perú solo le importa sacar dinero al estudiante,Universidad Tecnológica del Perú,2019-08-06,"Lima,Lima","Educación y Formación,Universidades",642," Universidad Tecnológica del Perú lo unico que busca es sacar dinero a sus egresados de cualquier forma, muchos han terminado sus estudios y quieren hacer tesis para titularse.. la universidad lo que hace es cobrar 320 solo por presentar la solicitud de tema, esperando 15 dias ellos no lo aprueban y lo peor es que hay que volver a pagar 320 soles y presentar otro tema, para el colmo en la carta respuesta dice que se adjunta el informe con las observaciones y nunca te lo dan. Atencion SUNEDU, por favor no le entreguen el licenciamiento a la Universidad Tecnológica del Perú, a esa gente solo le importa sacar dinero a sus estudiantes de cualquier modo, no hay educacion de calidad... Universidad_Tecnológica_del_Perú son estafadores"
GSS realmente apesta,GSS,2019-05-31,"Lima,Lima","Telecomunicaciones & IT,Telefonía móvil",522," Tuve una pésima experiencia con GSS ya se aprovechan totalmente de la necesidad y mienten en cuanto q te pagarán comisiones y lo digo yo que estuve casi seis meses fui cuartil uno y me sacaron peor q a un perro . Les explico con grupo de compañeros iniciamos la campaña Movistar total y vi en ese lapso como ingresaban y sacaban gente de la peor manera pues por no vender , por mala actitud y hasta por que simplemente no les gusta tu cara , y además que hacen quedar fuera de la hora hasta q completes tus ventas del día sin almorzar y haci poder "" comisionar"" , bueno uno no decía nada por la misma necesidad de trabajar y lleve algo a casa . Fui cuartil uno hasta casi llegar a la excelencia pero no valió de nada ya que K. el nombre de la encargada me saco gritandome y diciéndome párate y ven con tus con tus cosas , bueno al acercarme a su sitio ella aduce que cometí error en tipificar y que le quemaba la base , bueno yo me disculpe y le dije que no soy un robot que yo le cumplo con las ventas q me piden , pero simplemente me dijo que no le importaba y que firmara mi carta de renuncia y bueno pues no la firme y me fui a quejar a recursos humanos y ellos dijeron que barbaridad la sansionarmos por lo que hizo ya que cumples con un buen perfil y la solución q me dio fue cambiarme de campaña a una peor como para llorar donde es imposible llegar a la meta ya que es una base de Huaura Hua hoy Santa Rosa etc donde no hay señal de Movistar y de claro si y q creen las personas escuchaban Movistar y nos colgaban como si los insultaramos así que tenía que quedarme hasta las cinco o seis Sin Almorzar así que de igual manera otra vez me sacaron por no querer ""Apoyar"" a la campaña y no llegar a mi meta de ventas con esa gran base que nos daban y lo peor de todo que el ministerio de trabajo dice que si que efectivamente nos pueden sacar y hacer todo ello por el tipo de contrato que nos hacen , así que no creo que ninguna empresa sea peor con que GSS.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_4',124,'0','0']));"
Sally beauty Arequipa apestan,Sally Beauty,2019-05-16,"Arequipa,Arequipa","Productos,Cosméticos, Joyería y Relojes",599," Compré 01 polvo bodygraphy el 02.05 y recién lo abrí de la caja el 15.05 cuando lo veo estaba todo roto y al momento de cambiarlo me dijeron que había pasado más de 48 horas situación que no me informaron, al respecto debo señalar que el producto estaba pasado Ni más con Sally beauty nada recomendable"
Tottus nunca hizo envío de mis compras para familia en Lima,Tottus,2019-05-15,"Pueblo Libre,Lima","Productos,Varios",544," Tras muchas llamadas a Tottus, dozenas de emails a los cuales jamas se dignan responder y rogarles corrijan mis envios, (nunca consegua que guarden el nombre de mi beneficiario. Estuve en el telefono con ellos un total de 5 horas mediante muchas llamadas desde NY. Yo tenia que hacer el envio a mi sobrina cuyo esposo salia del hospital. Todas las personas que me atendieron mostraron falta de eficiencia e interes en solver mis varios problemas. Tambien la computadora borro mis 23 articulos muchas veces. Finalmente estos dien tocaron a la puerta y alguien dijo YO no vivia alli. - Yo soy la persona que hacia el envio. Esta gente jamas se intereso en ver quien era el beneficiario. Como tal fuera, son una bola de ineptos y haraganes. Tottus Portan mul mal servicio al cliente!!!.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_3',124,'0','0']));"
Nido Sonrisas en la huerta Rimac abusivos,Sonrisas,2019-07-05," Rimac,Lima","Educación y Formación,Colegios, Escuelas y Academias",578," Ese nido Sonrisas se pasó de abusivo, me han cobrado por 7 dias que me pasé en pagar la pensión de abril,S/30 de mora es un abuso ni en la universidad cobran tanto Sonrisas son unos abusivos."
Central apestan,Central,2019-04-18,"Huancavelica,Huancavelica","Otros,Fraudes",842, Central Me vendieron una camioneta mala
"Pardos Chicken - Pollos a la Brasa, una estafa",Pardos Chicken,2019-04-03,"Lima,Lima","Restaurantes, Bares y Otros,Comida rápida",994," Pardos Chicken de real plaza, es una PORQUERIA, pides un cuarto de pollo y te dan un pichon miserable, las papas no tienen sabor ni sal, la ensalada desabrida ni limon le ponen y encima le ponen ajo a la mayonesa que BASURA. Para colmo esta caro esa porqueria ni mas vuelvo a esa basura, prefiero ir al Norkys 10000% veces mejor, asi que ya saben no vayan al Pardos Chicken si quieren jugar a la comidita, y ojo a veces su sistema de Visa falla y si no llevas efectivo vas a lavar platos con la lengua... Dile NO a la porqueria de Pardos Chiken Ni Mas vuelvo a ese restaurant de shit prefiero mil veces un KFC o comer en la tia veneno"
We Travel Estafa en guía de turismo,We Travel,2019-12-01,"Cusco,Cusco","Servicios,Agencias de viajes",1203," No caigan en la trampa, cuidado viajamos con la empresa we travel turismo internacional desde Mexico, Nosotros llevamos más de un mes esperando respuesta del reembolso de Vuelos, trenes, taxis de todo el viaje Cusco a Lima que el Sr S.A. y sus representantes dijeron haber coordinado ellos, posterior a haber realizado todos los gastos para no quedar varados en Peru quedo formalmente de reembolsarnos, pedimos el apoyo de las autoridades de Peru y tampoco apoyaron. Fue un timo a más de 16 personas un grupo de amigos de Estados Unidos, Puerto Rico y Mexico con un total desinterés y hermetismo Jamás realizaron los pagos del itinerario como trenes comidas y más de 300 dólares de aviones que se pagaron por anticipado que We Travel nunca realizo quedandose con el dinero! Nosotros y otros compañeros de viaje levantamos la denuncia pertinente y seguimos esperando el dinero correspondiente. Ojo con We Travel y ojo con el señor S.A. que se dice que vivió en Mexico y es profesional. Que no les roben su dinero.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_4',124,'0','0']));We Travel, ahora se llama “We Cusco” cuidado comunidad que no te arruinen tu viaje, se publicitan con un nombre diferente cual empresa fantasma, incluso el individuo que nos timó a mi grupo y a mi familia por más de 1000 dólares dejándonos varados en Cusco sale en una de la fotos leyendo!!! six.. “We Cusco” = “We travel” = Fraude "
Mal Servicio - Country Club El Bosque - Sede Chosica,Country Club El Bosque,2018-12-12,"Lima,Lima","Diversión, Ocio y Deportes,Agrupaciones y Clubes",678," Comparto con ustedes este reportaje, la situación afectó directamente a uno de mis hijitos y a una gran parte de los 109 niños que asistieron a este paseo. Si en sus planes está visitar el Country Club El Bosque - Lima Peru (Chosica - Punta Negra - Surco) les pido se tomen unos minutos para leer y ver esta publicación, gracias. Agradeceré se INFORMEN y DIFUNDAN el reportaje (15 min) realizado el 12-12-18, habiéndose cometido el delito contra la Salud Pública, repercutiendo en la Salud y educación de nuestros niños, por parte de la Asociación Country Club “El Bosque”. Sobre todo, ponemos en ALERTA a los VISITANTES y/o SOCIOS del club, que forman parte de tan tradicional institución, sin embargo sus actuales representantes están mancillando su Calidad y Servicio para propios y terceros. Los REPRESENTANTES del Country Club “El Bosque”, han jugado con los derechos básicos de nuestros hijos y han pretendido BURLARSE de los padres de familia, con los siguientes actos: - Han incurrido en el Delito contra la Salud Pública en modalidad de intoxicación sancionado en el código penal. Debido a la ingesta alimenticia que sufrieron en sus instalaciones. - Negarse a entregar el LIBRO DE RECLAMACION (incumpliendo el art. 150 de la Ley 29571 y el Decreto Supremo 011-2011-PCM atropellando nuestros derechos como usuarios). - Negarse a ofrecernos disculpas PUBLICAS, por el descuido y poca calidad de servicio; además ser los RESPONSABLES PRINCIPALES del perjuicio educativo, extracurricular, deportiva y recreación en contra de nuestros hijos. - Incumplimiento de contrato negándose a la DEVOLUCION del dinero cancelado por la Contratación del Servicio INFANTIBOSQUE. - Desconocer el RECONOCIMIENTO de los gastos que hemos incurrido muchos padres de familia por la atención médica de nuestros hijos pese a las pruebas presentadas. Generaremos el cambio del PAIS, a partir de difundir este tipo de atropellos, corrupción y soberbia que vemos a diario. GRACIAS a Buenos Días Perú – Panamericana TV por su tiempo y preocupación. #CountryClubElBosque #IntoxicacionAlimentaria #INDECOPI #DefensoriaDelPueblo #DIGESA #niñosenfermos #infantibosque reportaje 12-12-2018 buenos dias PERU Link"
Estafa Comercial Cevatrans Logistics,Cevatrans Logistics,2018-11-14,"Puno,Puno","Transporte,Naviero",951," Estimados señores solicito su apoyo sufri una estafa por parte de la Empresa Cevatrans Logistics, ubicado en Marsella Franciancia, a quienes se le contrato por servicio de transporte Naviero Desde Puerto de Marsella Francia con destino Puerto de Matarani Peru, para lo cual se deposito la suma $ 2380 dolares Bancarizado. Cevatrans Logistics nunca cumplieron con el servicio, no responden los correos desaparecieron Solicito apoyo por favor. Atte. Sr.H.L.L. DNI 428932xx"
GoDaddy apestan,GoDaddy,2018-05-11,"Lima,Lima","Servicios,Desarrollo Web, Hospedaje y Dominios",1000," Hace casi un mes compre un dominio en GoDaddy con una supuesta oferta: Sí lo adquiria por dos años te la dan a precio de ganga. Antes de realizar la compra me percate que esta, incluya el Certificado SSL; el cual es neceasario en la elaboración de pagínas Web. Ahora que quiero migrar el dominio a otra empresa distinta de hosting me doy con la ingrata sorpresa que tengo que pagar S/.244,99 anual por dicho certificado. GoDaddy juega mucho con la ambiguedad de la información que te brindan antes de hacer cualquier pago y luego te van agregando cosas y precios a fin de sacarte todo el dinero que puedan. Tengan mucho cuidado con esta modalidad de estafa encubierta.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_2',124,'0','0']));"
JNE Apestan a colusión con fraude municipal,JNE,2018-10-10,"Lima,Lima","Gobierno y Política,General",739," Tanto la ONP como el JNE son instituciones publicas corruptas que favorecieron a uno que otro alcalde, especificamente en la ciudad de lima (ni que decir en provincia), estos entes junto a medios de comunicacion y prensa de grandes poderes economicos monopolios pertenecientes a un pequeño grupo de familias dueños de diarios, bancos, empresas, prensa, grifos, etc. Decide y arregla el candidato favorito para las elecciones, tambien se incluyen las muy cuestionadas encuestadoras privadas las cuales mueven y juegan a favor de este grupo. Todo esta comprado, silencian la opinion publica y muestran solo aquello que les conviene. hay mucha discriminacion callada, imponen aquello que esta mal o bien bajo sus intereses porque en la practica se debe ser lo contrario. tanto la ONP como el JNE son instituciones publicas corruptas que favorecieron a uno que otro alcalde, especificamente en la ciudad de lima (ni que decir en provincia), estos entes junto a medios de comunicacion y prensa de grandes poderes economicos monopolios pertenecientes a un pequeño grupo de familias dueños de diarios, bancos, empresas, prensa, grifos, etc. Decide y arregla el candidato favorito para las elecciones, tambien se incluyen las muy cuestionadas encuestadoras privadas las cuales mueven y juegan a favor de este grupo.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_4',124,'0','0'])); Todo esta comprado, silencian la opinion publica y muestran solo aquello que les conviene. hay mucha discriminacion callada, imponen aquello que esta mal o bien bajo sus intereses porque en la practica se debe ser lo contrario."
INGEFASA te Estafa,INGEFASA,2018-06-25,"Surquillo,Lima","Servicios,Mecánicos y Talleres Mecánicos",3163," La presente es para alertarte de la ""empresa"" INGEFASA, quienes hacen publicidad en la web sobre Rejas de Seguridad y Carpintería Metálica, ubicada en Av. Angamos Este 14xx, Surquillo, frente a SEDAPAL. Ya hubo denuncias de Estafa en INDECOPI y Poder Judicial, que puedes visualizar buscando en Google. El RUC de INGEFASA fue dado de baja por la SUNAT hace años, por irregularidades. Por ende, tampoco cuenta con licencia de funcionamiento. Toma precauciones."
Estafados por Mt4invest.com,Mt4invest.com,2018-02-06,"Lima,Lima","Dinero y Finanzas,Tarjetas, Créditos, Ahorro, Inversiones",874," Esta mafia opera desde centros de negocios en Lima en San Isidro Perú. Mt4invest.com estan robando sobre 300.000 dolares amercanos por mes. Los nombres reales de los estafadores peruanos son P.M.R.R. ( profesor en universidad del pacifico) y su jefe judio K.M. Conocemos los anteriores trabajos de estos estafadores, trabajaron en brokers regulados para aprender y robar directamente Ya hemos creado una asociacion de estafados, poniendonos en contacto y estamos hablando con abogados para meter presos a estos ladrones, Voy a explicar como funciona esta mafia. Encuentran tus datos cuando te registras en algun sitio web Te llaman y piden que operes con ellos con la plataforma Sirix Trader o Leverate. No estan conectados al mercado Te llaman desde telefonos extranjeros, ellos dicen estar en Londres u otros lugares pero es falso, utilizan telefonia ip para falsear las llamadas Siempre te piden transferencias internacionales a cuentas en bancos extranjeros para que no puedas recuperar tu dinero. Todo lo que depositas te lo roban, a veces te dejan sacar algo para que te confies y poder robarte más Tienen lo que llaman cuentas semi gestionadas que supuestamente te hacen ganar dinero ficticio, pero todo es mentira, no estan conectados al mercado. Hay grabaciones de ellos en su propia oficina, dejo un enlace. Si has sido estafado por Mt4invest.com ponte en contacto. Ayudanos a divulgar esta informacion."
Movistar Perú no cumple con lo que garantizan servicio de internet,Movistar,2018-03-15,"Lima,Lima","Telecomunicaciones & IT,Internet ISP's",1171," He contrtado 40mbps HFCde la empresa Movistar peru y tan solo me vine de 1MbPS A 3 MbPS siempre hay lentitud y un baja velociadad ellos garantizan el 40% sin embargo no me llega ni esos 40% DE 40MbPS que deberia ser 16MbPS, solo me llega a lo mucho 3MbPS en mejor de los caso 6MbPS. no contraten el hfc de Movistar peru no cumple con lo que garantizan y lo peor que su atencion al cliente es pesimo llevo mas de 1MES con este problem y no me lo SOLUCIONAN"
Agencia estafadora GoTravel To Live,GoTravel To Live,2018-12-03,"Surco,Lima","Servicios,Agencias de viajes",1007," Yo soy de lima, Perú. Compré a esta agencia GoTravel To Live paquetes más pasajes más un día adicional, hasta pague el impuesto hotelero..la fecha de viaje estaba programado el 5 de febrero del 2017. Llegó la fecha y nos mandaron las reservas del hotel y ni los pasajes ! No cumpliendo con nosotros, por eso digo que es una agencia estafadora! No compren a esta agencia ningún paquete. Se quedan con tu plata y no cumplen con lo que ofrecen. Tengan cuidado con O.J. el nos estafo!corran la voz en facebook en agencias estafadoras para que no sigan estafando a más personas!eval(ez_write_tag([[250,250],'apestan_com-medrectangle-4','ezslot_6',124,'0','0']));"
Indeed vendido,Indeed,2018-02-23,"Lima,Lima","Trabajos,Reclutamiento",1430," Indeed no publica evaluaciones de algunas empresas en mi país,como por ejemplo Jac facility services, se nota que les pagan para que esas empresas explotadoras tengan 5 estrellas,cuando no lo son en realidad. Fata mas seriedad en este tipo de paginas que brindan empleos de ciertas empresas que no pagan o explotan a los empleados y que se debería mostrar al publico."
"Restaurante, comida en mal estado",Restaurante,2018-02-23,"Lima,Lima","Restaurantes, Bares y Otros,Restaurantes",1006, hay un Restaurante que no cumple con las normas de higiene esta sirviendo comida en mal estado su local esta sucio y mal atendido esta todo lleno de cucarachas esta trabajando en una galeria que hay talleres y una peluqueria y entra todo en el Restaurante y eso esta prohibido que alguien valla y lo revise en independencia av/ gerado unger 44xx el local es de color rosa esta enfrente de la estacion el naranjar el puesto es de color rosa numero a es de sr R.
